"2020-09-15","10015 Bighorn Bellows Ave","Skye Canyon Parcel 13 Phase 2",480000
"2020-09-11","10015 Bighorn Bellows Ave","Skye Canyon Parcel 13 Phase 2",481400
"2020-09-14","1443 Lime Point St","Heritage Park",359899
"2020-09-13","1443 Lime Point St","Heritage Park",359999
"2020-09-14","3609 Roseglen Ct","Woodland Hills C",264899
"2020-09-13","3609 Roseglen Ct","Woodland Hills C",264999
"2020-09-17","7147 Durango Dr #304","Vistana Condo",184900
"2020-09-13","7147 Durango Dr #304","Vistana Condo",199990
"2020-09-09","9768 Newport Coast Cir","Foothills",599910
"2020-09-02","9768 Newport Coast Cir","Foothills",565110
